Text,Timestamp,Author,URL,Status,Sentiment_Score,Emotion,Key_Topics
"""A million ideas mean nothing if they never bring them to life, start with one and let it flow."" """,2025-09-03T16:09:47.074039,Umasugi Gita,,neutral,0.00,neutral,
Umasugi Gita and 4 others,2025-09-03T16:09:47.076680,Umasugi Gita,,neutral,0.00,neutral,
Pramugari Muda ✅,2025-09-03T16:09:47.080998,Pramugari Muda,,,0.00,,
Ai Nurhayati and 14 others,2025-09-03T16:09:47.086087,Ai Nurhayati,,neutral,0.00,neutral,
Assalamualaikum jangan lupa olahraga....,2025-09-03T16:09:47.086347,Dini Karuniasari,,neutral,0.00,neutral,
Bersama alumni 9H spensika angkatan 60....,2025-09-03T16:09:47.086822,Lin Lin Andriani,,neutral,0.00,neutral,
Lin Lin Andriani and 15 oth,2025-09-03T16:09:47.090307,Lin Lin Andriani,,neutral,0.00,neutral,
Wullan Ros and 66 others,2025-09-03T16:09:47.090770,Wullan Ros,,neutral,0.00,neutral,
Anak moyang slamat ultah yg ke 1 tahun,2025-09-03T16:09:47.095072,Nova,,neutral,0.00,neutral,
Nova and 2 others,2025-09-03T16:09:47.098834,Nova,,,0.00,,
