Text,Timestamp,Author,URL,Status,Sentiment_Score,Emotion,Key_Topics
Terima kasih kepada pengikut terbaru saya! Senang Anda bergabung!,2025-09-03T16:01:09.474922,Ameeza Qiandra,,neutral,0.00,neutral,
Kondisi saat ini rumah mewah uya kuya setelah di jarah dan di rusak masa 31/8/2025‼️,2025-09-03T16:01:09.477952,Jurnalis Bkl,,neutral,0.00,neutral,
ga kerasa udah 6bulan ajah bumil inih 🥰sehat sehat yah butunkuh 😘,2025-09-03T16:01:09.478295,Ayang Fani Ciwidey,,neutral,0.00,neutral,
"Makannya jgn jadi tukang minta, sekali2lah tanam sendiri biar jgn kena kata dari bp tua😂😂🤣 @sorotan",2025-09-03T16:01:09.478751,Rosvita,,neutral,0.00,neutral,
Waduh enteng banget mulut pelakornya 🙈,2025-09-03T16:01:09.479066,Topik terkini,,neutral,0.00,neutral,
Wullan Ros and 78 others,2025-09-03T16:01:09.479329,Wullan Ros,,neutral,0.00,neutral,
Selvia Gea and 18 others,2025-09-03T16:01:09.479758,Selvia Gea,,neutral,0.00,neutral,
Write a comment…,2025-09-03T16:01:09.487115,Selvia Gea,,,0.00,,
Perempuan hebat 🫰🏆🇮🇩,2025-09-03T16:01:09.488181,Winda Ayu Safitri,,,0.00,,
Matahari Tak Pernah Datang,2025-09-03T16:01:09.489701,PEJUANG MONETISASI,,neutral,0.00,neutral,
Ahmad Ridwan Arifin and 1 other,2025-09-03T16:01:09.498935,PEJUANG MONETISASI,,neutral,0.00,neutral,
kita berjuang sembuh yah anak kuat ibu😇🥺😭buat bunda² di grup ini doakan anak saya cepat sembuh yah bund 😊🥰,2025-09-03T16:01:09.502494,Tips Sehat Ibu Hamil da,,neutral,0.00,neutral,
"Malam itu, udara basah oleh hujan yang baru reda. Jalanan aspal masih licin, memantulkan cahaya lampu kota yang temaram.",2025-09-03T16:01:09.503242,Zuliati Zuliati,,neutral,0.00,neutral,
Iren Zebua and 73K others,2025-09-03T16:01:09.507784,Zuliati Zuliati,,neutral,0.00,neutral,
"Peredator Anakonda lewat tiba tiba, 😨aku nyuci serius 😰😱",2025-09-03T16:01:09.508369,Mamak Tama Hutauruk,,neutral,0.00,neutral,
Dey RQ and 196K others,2025-09-03T16:01:09.512334,Mamak Tama Hutauruk,,neutral,0.00,neutral,
Ini Bukan kakak Fattah Ya Temen2 😅,2025-09-03T16:01:09.512792,Aqeela Calista Fans,,neutral,0.00,neutral,
Sama sama Geulis 🩶,2025-09-03T16:01:09.517491,Aqeela Calista Fans,,,0.00,,
"Beberapa Warga Inisiatif Membantu Uya Kuya Pindah Rumah Dengan Membawakan Barang Barangnya, Sungguh Sangat Baik",2025-09-03T16:01:09.518331,Khaerul Umam,,neutral,0.00,neutral,
Albi Sabakingking and 125K others,2025-09-03T16:01:09.521476,Khaerul Umam,,neutral,0.00,neutral,
BREAKING: Rihanna gave birth to her third child in a f@tal birth… A$AP Rocky burst into tears over a choice that haunted hi,2025-09-03T16:01:09.522632,Panda Dreams,,neutral,0.00,neutral,
